#Source: Bessell 90 

Band U
3000.000 0.000
3050.000 0.016
3100.000 0.068
3150.000 0.167
3200.000 0.287
3250.000 0.423
3300.000 0.560
3350.000 0.673
3400.000 0.772
3450.000 0.841
3500.000 0.905
3550.000 0.943
3600.000 0.981
3650.000 0.993
3700.000 1.000
3750.000 0.989
3800.000 0.916
3850.000 0.804
3900.000 0.625
3950.000 0.423
4000.000 0.238
4050.000 0.114
4100.000 0.051
4150.000 0.019
4200.000 0.000


Band B
3600.000 0.000
3700.000 0.030
3800.000 0.134
3900.000 0.567
4000.000 0.920
4100.000 0.978
4200.000 1.000
4300.000 0.978
4400.000 0.935
4500.000 0.853
4600.000 0.740
4700.000 0.640
4800.000 0.536
4900.000 0.424
5000.000 0.325
5100.000 0.235
5200.000 0.150
5300.000 0.095
5400.000 0.043
5500.000 0.009
5600.000 0.000


Band V
4700.000 0.000
4800.000 0.030
4900.000 0.163
5000.000 0.458
5100.000 0.780
5200.000 0.967
5300.000 1.000
5400.000 0.973
5500.000 0.898
5600.000 0.792
5700.000 0.684
5800.000 0.574
5900.000 0.461
6000.000 0.359
6100.000 0.270
6200.000 0.197
6300.000 0.135
6400.000 0.081
6500.000 0.045
6600.000 0.025
6700.000 0.017
6800.000 0.013
6900.000 0.009
7000.000 0.000


Band R
5500.000 0.000
5600.000 0.230
5700.000 0.740
5800.000 0.910
5900.000 0.980
6000.000 1.000
6100.000 0.980
6200.000 0.960
6300.000 0.930
6400.000 0.900
6500.000 0.860
6600.000 0.810
6700.000 0.780
6800.000 0.720
6900.000 0.670
7000.000 0.610
7100.000 0.560
7200.000 0.510
7300.000 0.460
7400.000 0.400
7500.000 0.350
8000.000 0.140
8500.000 0.030
9000.000 0.000


Band I
7000.000 0.000
7100.000 0.024
7200.000 0.232
7300.000 0.555
7400.000 0.785
7500.000 0.910
7600.000 0.965
7700.000 0.985
7800.000 0.990
7900.000 0.995
8000.000 1.000
8100.000 1.000
8200.000 0.990
8300.000 0.980
8400.000 0.950
8500.000 0.910
8600.000 0.860
8700.000 0.750
8800.000 0.560
8900.000 0.330
9000.000 0.150
9100.000 0.030
9200.000 0.000

