#planteary terms
#l F D Omega me ve ea ma ju sa ur ne general_precession long_sin long_cos obl_sin obl_cos

0 0 0 0 0 0 8 -16 4 5 0 0 0 1440 0 0 0
0 0 0 0 0 0 -8 16 -4 -5 0 0 2 56 -117 -42 -40
0 0 0 0 0 0 8 -16 4 5 0 0 2 125 -43 0 -54
0 0 0 0 0 0 0 0 0 0 -1 2 2 0 5 0 0
0 0 0 0 0 0 -4 8 -1 -5 0 0 2 3 -7 -3 0
0 0 0 0 0 0 4 -8 3 0 0 0 1 3 0 0 -2
0 1 -1 1 0 0 3 -8 3 0 0 0 0 -114 0 0 61
-1 0 0 0 0 10 -3 0 0 0 0 0 0 -219 89 0 0
0 0 0 0 0 0 0 0 -2 6 -3 0 2 -3 0 0 0
0 0 0 0 0 0 4 -8 3 0 0 0 0 -462 1604 0 0
0 1 -1 1 0 0 -5 8 -3 0 0 0 0 99 0 0 -53
0 0 0 0 0 0 -4 8 -3 0 0 0 1 -3 0 0 2
0 0 0 0 0 0 4 -8 1 5 0 0 2 0 6 2 0
0 0 0 0 0 -5 6 4 0 0 0 0 2 3 0 0 0
0 0 0 0 0 0 0 0 2 -5 0 0 2 -12 0 0 0
0 0 0 0 0 0 0 0 2 -5 0 0 1 14 -218 117 8
0 1 -1 1 0 0 -1 0 2 -5 0 0 0 31 -481 -257 -17
0 0 0 0 0 0 0 0 2 -5 0 0 0 -491 128 0 0
0 1 -1 1 0 0 -1 0 -2 5 0 0 0 -3084 5123 2735 1647
0 0 0 0 0 0 0 0 -2 5 0 0 1 -1444 2409 -1286 -771
0 0 0 0 0 0 0 0 -2 5 0 0 2 11 -24 -11 -9
2 -1 -1 0 0 0 3 -7 0 0 0 0 0 26 -9 0 0
1 0 -2 0 0 19 -21 3 0 0 0 0 0 103 -60 0 0
0 1 -1 1 0 2 -4 0 -3 0 0 0 0 0 -13 -7 0
1 0 -1 1 0 0 -1 0 2 0 0 0 0 -26 -29 -16 14
0 1 -1 1 0 0 -1 0 -4 10 0 0 0 9 -27 -14 -5
-2 0 2 1 0 0 2 0 0 -5 0 0 0 12 0 0 -6
0 0 0 0 0 3 -7 4 0 0 0 0 0 -7 0 0 0
0 -1 1 0 0 0 1 0 1 -1 0 0 0 0 24 0 0
-2 0 2 1 0 0 2 0 -2 0 0 0 0 284 0 0 -151
-1 0 0 0 0 18 -16 0 0 0 0 0 0 226 101 0 0
-2 1 1 2 0 0 1 0 -2 0 0 0 0 0 -8 -2 0
-1 1 -1 1 0 18 -17 0 0 0 0 0 0 0 -6 -3 0
-1 0 1 1 0 0 2 -2 0 0 0 0 0 5 0 0 -3
0 0 0 0 0 -8 13 0 0 0 0 0 2 -41 175 76 17
0 2 -2 2 0 -8 11 0 0 0 0 0 0 0 15 6 0
0 0 0 0 0 -8 13 0 0 0 0 0 1 425 212 -133 269
0 1 -1 1 0 -8 12 0 0 0 0 0 0 1200 598 319 -641
0 0 0 0 0 8 -13 0 0 0 0 0 0 235 334 0 0
0 1 -1 1 0 8 -14 0 0 0 0 0 0 11 -12 -7 -6
0 0 0 0 0 8 -13 0 0 0 0 0 1 5 -6 3 3
-2 0 2 1 0 0 2 0 -4 5 0 0 0 -5 0 0 3
-2 0 2 2 0 3 -3 0 0 0 0 0 0 6 0 0 -3
-2 0 2 0 0 0 2 0 -3 1 0 0 0 15 0 0 0
0 0 0 1 0 3 -5 0 2 0 0 0 0 13 0 0 -7
-2 0 2 0 0 0 2 0 -4 3 0 0 0 -6 -9 0 0
0 -1 1 0 0 0 0 2 0 0 0 0 0 266 -78 0 0
0 0 0 1 0 0 -1 2 0 0 0 0 0 -460 -435 -232 246
0 1 -1 2 0 0 -2 2 0 0 0 0 0 0 15 7 0
-1 1 0 1 0 3 -5 0 0 0 0 0 0 -3 0 0 2
-1 0 1 0 0 3 -4 0 0 0 0 0 0 0 131 0 0
-2 0 2 0 0 0 2 0 -2 -2 0 0 0 4 0 0 0
-2 2 0 2 0 0 -5 9 0 0 0 0 0 0 3 0 0
0 1 -1 1 0 0 -1 0 0 0 -1 0 0 0 4 2 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0
0 1 -1 1 0 0 -1 0 0 0 0 2 0 -17 -19 -10 9
0 0 0 0 0 0 0 0 0 0 0 2 1 -9 -11 6 -5
0 0 0 0 0 0 0 0 0 0 0 2 2 -6 0 0 3
-1 0 1 0 0 0 3 -4 0 0 0 0 0 -16 8 0 0
0 -1 1 0 0 0 1 0 0 2 0 0 0 0 3 0 0
0 1 -1 2 0 0 -1 0 0 2 0 0 0 11 24 11 -5
0 0 0 1 0 0 -9 17 0 0 0 0 0 -3 -4 -2 1
0 0 0 2 0 -3 5 0 0 0 0 0 0 3 0 0 -1
0 1 -1 1 0 0 -1 0 -1 2 0 0 0 0 -8 -4 0
0 0 0 0 0 0 0 0 1 -2 0 0 0 0 3 0 0
1 0 -2 0 0 17 -16 0 -2 0 0 0 0 0 5 0 0
0 1 -1 1 0 0 -1 0 1 -3 0 0 0 0 3 2 0
-2 0 2 1 0 0 5 -6 0 0 0 0 0 -6 4 2 3
0 -2 2 0 0 0 9 -13 0 0 0 0 0 -3 -5 0 0
0 1 -1 2 0 0 -1 0 0 1 0 0 0 -5 0 0 2
0 0 0 1 0 0 0 0 0 1 0 0 0 4 24 13 -2
0 -1 1 0 0 0 1 0 0 1 0 0 0 -42 20 0 0
